"X1","Area","Length","Width","Area","Length","Width","Area","Length","Width"
"BLOCK2G38",23.4562,11.7593,2.876,22.937,11.6095,2.852,13.7075772888889,0.606242677777778,0.115913555555556
"BLOCK2G4",24.7303,11.24,3.0339,25.053,11.397,3.1105,13.1782253444444,0.389318222222222,0.0950901
"BLOCK2G41",27.6883,11.7534,3.2787,26.3485,11.7895,3.212,12.9961529,0.183521822222222,0.0954286777777778
"BLOCK2G42",21.275,10.7804,2.777,21.5005,10.9325,2.808,11.9891795555556,0.1479056,0.0963942222222222
"BLOCK2G43",25.171,11.1067,3.2344,24.8915,11.111,3.1835,13.0866451111111,0.600590011111111,0.0824676000000001
"BLOCK2G44",21.2715,10.951,2.8089,19.6405,10.9915,2.6565,17.8722378333333,0.509014666666666,0.165012322222222
"BLOCK2G45",21.7853,10.2175,2.9749,19.6495,10.3075,2.827,21.4527964555555,0.9181965,0.122791211111111
"BLOCK2G46",25.0305,12.1139,2.9527,25.2735,12.2005,2.963,16.4265442777778,0.730338766666667,0.119693566666667
"BLOCK2G48",22.4004,10.8687,2.9208,21.032,10.87,2.8035,20.5782102666667,0.465159122222222,0.136777955555556
"BLOCK2G49",24.368,11.9876,2.8827,24.362,12.034,2.9255,15.0698946666667,0.549474488888889,0.0877093444444444
"BLOCK2G50",26.2919,11.8864,3.1653,27.189,11.693,3.2845,19.5834274333333,0.527289155555555,0.172098455555556
"BLOCK2G51",22.2719,10.538,3.0234,22.2465,10.614,3.0765,9.09834454444444,0.401934222222222,0.0676918222222222
"BLOCK2G53",23.0647,11.4857,2.7883,23.518,11.449,2.864,14.3340013444444,0.576421788888889,0.0868060111111111
"BLOCK2G54",23.6042,11.2354,2.9968,23.905,11.3865,3.018,12.8422990666667,0.441523155555556,0.0808812888888888
"BLOCK2G56",22.9533,11.0072,3.0367,23.3045,11.3015,3.14,21.1051886777778,0.586758844444444,0.187962233333333
"BLOCK2G57",25.4001,11.3901,3.2563,25.7895,11.506,3.275,13.7358583222222,0.397439877777778,0.0899440111111111
"BLOCK2G58",25.2056,12.0081,2.9566,25.174,11.9665,2.998,13.7725078222222,0.391491877777778,0.106354488888889
"BLOCK2G6",21.3242727272727,11.1747272727273,2.687,22.167,11.17,2.831,23.2284890181818,0.163491818181818,0.2935094
"BLOCK2G60",23.4479,11.4178,2.9182,24.296,11.3655,3.042,14.5584056555556,0.271058844444444,0.167247288888889
"BLOCK2G61",22.0096,10.8752,2.8547,22.661,10.983,2.9205,14.0563564888889,0.272142844444445,0.143144455555556
"BLOCK2G62",23.1002,10.7509,3.0216,22.7885,10.8345,3.006,10.7151244,0.303650766666667,0.0908400444444444
"BLOCK2G63",22.758,11.194,2.8248,21.612,11.0395,2.726,20.4929513333333,0.364307333333333,0.217577733333333
"BLOCK2G64",24.4661,11.9785,2.9294,24.9575,11.9375,3.0345,16.8848076555555,0.6469945,0.125738044444444
"BLOCK2G65",22.8007,11.5014,2.7523,23.5375,11.419,2.8235,12.5297366777778,0.371022266666667,0.0880797888888889
"BLOCK2G66",26.6494,12.7767,3.0318,25.7305,12.6535,3.029,25.3344440444444,0.771886233333333,0.122274844444445
"BLOCK2G67",24.181,11.5907,2.9141,24.0975,11.8545,2.945,18.8803571111111,1.04733534444445,0.0870316555555555
"BLOCK2G68",23.0948,11.2463,2.9277,23.7645,11.3755,3.0115,17.2417575111111,0.432524455555556,0.118462011111111
"BLOCK2G69",23.3447,11.521,2.8613,24.179,11.572,2.9425,23.4093869,0.828501111111111,0.193342011111111
"BLOCK2G7",22.5927,10.8358,2.9429,22.3015,10.6895,2.917,11.6558977888889,0.413067955555555,0.0808183222222222
"BLOCK2G70",25.2474,11.7268,3.0546,25.3525,11.546,3.1425,17.2878684888889,0.506627733333334,0.130989822222222
"BLOCK2G71",22.873,11.0065,2.8739,22.262,10.9725,2.835,13.8682533333333,0.355043833333333,0.149276766666667
"BLOCK2G72",21.6553,10.7582,2.7605,21.7255,10.6965,2.765,11.7234937888889,0.387348622222223,0.0979791666666667
"BLOCK2G75",23.7879,11.3656,2.9104,23.4165,11.1765,2.9275,20.1836421,0.358176266666666,0.183405377777778
"BLOCK2G77",24.0677,10.9449,3.088,24.1955,10.7925,3.1445,9.50484267777778,0.701351655555556,0.0693953333333334
