sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
2018A51,G104,2,345,1,1,2,482,91,0,15,4,2,0.3976,24.8168,12.2493,2.9362
2016B124,G106,2,345,1,3,3,486,81,-0.10536051565782628,14,5,2,0.4048,23.6899,11.2637,2.9897
1992A77,G11,2,345,1,3,2,479,NA,0,13,4,2,0.4169,24.1887,11.7597,2.8634
2018C151,G107,2,348,0,4,1,480,73,0.26236426446749106,13,4,2,0.414,25.2956,11.6959,3.092
2016D212,G108,2,345,1,2,3,482,96,-0.35667494393873245,15,5,2,0.4239,NA,NA,NA
2016D217,G109,2,345,1,2,3,482,79,-0.10536051565782628,12,6,1,0.3629,23.5139,11.2854,2.9897
2018B116,G110,2,345,1,2,2,483,79.5,-0.10536051565782628,14,4,3,0.4236,22.2208,10.4091,3.0232
2018B142,G111,2,346,1,2,3,482,72,-0.35667494393873245,14,4,2,0.405,24.2668,11.4687,3.0323
1984A41,G12,2,345,1,1,2,484,68,-0.10536051565782628,15,3,3,0.4301,24.7824,11.5415,3.014
2002A47,G13,2,345,1,3,3,479,80,0.09531017980432493,12,4,2,0.4869,24.0441818181818,11.9245454545455,2.85881818181818
1992A54,G14,2,345,1,2,3,484,73.5,-0.35667494393873245,12,3,3,0.4777,25.3155,12.3793,2.9393
1984A56,G15,2,344,1,2,3,481,85,-0.10536051565782628,14,6,3,0.3697,20.8217,10.8171,2.6541
2002A59,G16,2,345,0,5,2,473,101,0.09531017980432493,14,3,1,0.5185,22.9865,10.9094,3.0442
1988A41,G17,2,345,1,1,2,485,81,-0.35667494393873245,15,4,2,0.3461,21.6319,10.8902,2.7839
1984A9,G18,2,345,1,2,2,482,68.5,0,13,4,3,0.42,25.424,11.2479,3.1798
2014B131,G19,2,345,1,2,3,488,77,-0.10536051565782628,13,5,1,0.4095,23.6299,10.8038,3.0327
1984A12,G2,2,345,1,3,2,487,91.5,0,15,5,3,0.4197,23.511,10.4619,3.1548
1988B133,G20,2,345,1,2,3,483,91,-0.35667494393873245,13,4,3,0.3631,22.6112,10.9128,2.9711
1984B113,G22,2,345,1,2,2,484,80,0,16,4,3,0.4374,26.5461,12.4612,3.095
1984B116,G23,2,345,1,1,2,483,68,0,13,5,2,0.3767,23.6005,11.3704,2.9278
2002D221,G25,2,345,1,1,2,483,84.5,-0.10536051565782628,14,4,1,0.4568,25.2612,12.1314,2.9509
1984B142,G27,2,345,1,1,3,481,88.5,-0.5108256237659907,13,4,2,0.4223,25.3291,12.3961,2.8902
1984C156,G28,2,NA,NA,1,2,480,69.5,-0.10536051565782628,12,4,2,0.4669,22.4179090909091,10.757,3.02163636363636
